ArrivalRate,AvgQDelay,AvgDDelay
0.05,1.1431793636363636,2.424867545454546
0.075,1.2044754545454546,2.432297
0.1,1.2735444545454546,2.4332328181818177
0.125,1.3540349090909092,2.4430454545454547
0.15,1.447486090909091,2.469752363636364
0.175,1.5478114545454547,2.493037727272727
0.2,1.680196181818182,2.5079552727272727
0.225,1.8333265454545455,2.529705363636363
0.25,2.0222813636363637,2.559677727272727
0.275,2.255137090909091,2.5795556363636365
0.3,2.5654802727272727,2.608636636363636
0.325,2.9530000909090903,2.638187090909091
0.35,3.494411454545455,2.679423636363636
0.375,4.2490926363636365,2.708800181818182
0.4,5.452081818181818,2.7626240909090907
0.425,7.473541545454544,2.8041977272727276
0.45,10.936459727272728,2.8477270000000003
0.455,12.871577363636364,2.85925
0.46,14.160228272727272,2.860340181818182
0.465,15.486979727272727,2.8738010909090907
0.47,18.974185363636362,2.8747368181818183
0.475,22.813296,2.886047090909091
0.48,30.150185181818188,2.8926141818181814
0.485,37.700694636363636,2.8890632727272725
0.49,55.09775627272727,2.884862636363636
