ArrivalRate,AvgQDelay,AvgDDelay
0.1,1.1172882727272728,2.5292790000000003
0.15,1.1624627272727273,2.619012727272727
0.2,1.2112857272727273,2.720828909090909
0.25,1.2664406363636365,2.824058181818182
0.3,1.3341130909090908,2.9540569090909092
0.35,1.4058584545454544,3.0902639999999995
0.4,1.4927769090909089,3.2381507272727275
0.45,1.6005875454545455,3.429018363636364
0.5,1.7220594545454544,3.638021181818182
0.55,1.8731617272727272,3.906935636363636
0.6,2.0536065454545454,4.219341
0.65,2.3071140000000003,4.610506727272727
0.7,2.638121909090909,5.1471421818181815
0.75,3.0999110000000005,5.841616000000002
0.8,3.7488473636363637,6.945483090909092
0.85,4.944619363636364,8.679624545454546
0.9,7.180214454545455,11.988358545454544
0.91,7.736714454545455,13.059974000000004
0.92,8.783698,14.515347999999996
0.93,9.774826909090908,16.27629509090909
0.94,11.226179363636364,18.20249081818182
0.95,13.767518727272728,22.545257454545457
0.96,16.260650818181816,25.96908481818182
0.97,21.67956763636364,32.625476545454546
0.98,38.18826554545455,46.73910018181819
