ArrivalRate,AvgQDelay,AvgDDelay
0.1,1.11589827273,2.43982254545
0.15,1.15901127273,2.47408263636
0.2,1.21127581818,2.50547781818
0.25,1.26580636364,2.53145918182
0.3,1.33011790909,2.56855254545
0.35,1.40782463636,2.60786772727
0.4,1.49873645455,2.64672745455
0.45,1.60339690909,2.68539372727
0.5,1.72354618182,2.73254072727
0.55,1.88261909091,2.79320818182
0.6,2.05717145455,2.84633109091
0.65,2.30171027273,2.90801872727
0.7,2.64946772727,2.97186709091
0.75,3.09096654545,3.05264109091
0.8,3.73252054545,3.12569772727
0.85,4.87940436364,3.23318154545
0.9,6.95352381818,3.37242736364
0.91,7.68865154545,3.41129390909
0.92,8.596084,3.44870690909
0.93,10.1137257273,3.50022809091
0.94,11.3439171818,3.54339590909
0.95,13.009447,3.57604490909
0.96,17.6927281818,3.66040181818
0.97,23.2991952727,3.73592309091
0.98,36.5120572727,3.83580181818
