ArrivalRate,AvgQDelay,AvgDDelay
0.05,1.14681427273,2.408605
0.075,1.20539681818,2.42918972727
0.1,1.27249563636,2.43310218182
0.125,1.35891281818,2.46348709091
0.15,1.43974863636,2.47499363636
0.175,1.54950390909,2.49842763636
0.2,1.67646745455,2.50466681818
0.225,1.84028236364,2.53399118182
0.25,2.02227963636,2.55874990909
0.275,2.26710227273,2.57803018182
0.3,2.54034654545,2.60588090909
0.325,2.93523554545,2.642012
0.35,3.50390127273,2.677568
0.375,4.32103372727,2.72194518182
0.4,5.46773209091,2.76611063636
0.425,7.29407718182,2.80927
0.45,11.3747476364,2.86111381818
0.455,11.7601893636,2.86955527273
0.46,14.0650431818,2.87803890909
0.465,16.6316477273,2.88799190909
0.47,18.6212141818,2.89557972727
0.475,22.3005756364,2.904551
0.48,28.9569076364,2.90787654545
0.485,41.2200935455,2.90492063636
0.49,44.2429547273,2.90093854545
