RelayBuffer,ArrivalRate,Run,NumSources,CommnArrivalRate,NumCopies,NumRelays,SourceBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay,FractionDropped
100,0.74,0.5,1.0,0.55,30.0,100.0,500.0,0.1,8.960934,6.3885905,3.6867905,0.8819055,0.0
100,0.742,0.5,1.0,0.55,30.0,100.0,500.0,0.1,8.4234095,5.418611,3.671016,0.8477759999999999,0.0
100,0.744,0.5,1.0,0.55,30.0,100.0,500.0,0.1,8.5959075,5.744618,3.6967095,0.8959265000000001,0.0
100,0.746,0.5,1.0,0.55,30.0,100.0,500.0,0.1,8.777654,5.917958499999999,3.7146040000000005,0.8753735,0.0
100,0.748,0.5,1.0,0.55,30.0,100.0,500.0,0.1,9.827330499999999,6.87107,3.677436,0.8955559999999999,0.0
100,0.75,0.5,1.0,0.55,30.0,100.0,500.0,0.1,10.042454,7.752447,3.680674,0.89933,0.0
100,0.752,0.5,1.0,0.55,30.0,100.0,500.0,0.1,8.988358999999999,5.9352754999999995,3.738082,0.905982,0.0
100,0.754,0.5,1.0,0.55,30.0,100.0,500.0,0.1,10.465667499999999,7.877377000000001,3.7100234999999997,0.921986,0.0
100,0.756,0.5,1.0,0.55,30.0,100.0,500.0,0.1,9.875445,7.093679,3.6688739999999997,0.8622190000000001,0.0
100,0.758,0.5,1.0,0.55,30.0,100.0,500.0,0.1,10.88512,7.495291,3.7404859999999998,0.9202675,0.0
100,0.76,0.5,1.0,0.55,30.0,100.0,500.0,0.1,10.5055035,7.9518629999999995,3.6905295000000002,0.8468689999999999,0.0
100,0.762,0.5,1.0,0.55,30.0,100.0,500.0,0.1,11.575631000000001,9.04769,3.7538099999999996,0.9219765,0.0
100,0.764,0.5,1.0,0.55,30.0,100.0,500.0,0.1,10.146877,7.208697,3.674969,0.8951479999999999,0.0
100,0.766,0.5,1.0,0.55,30.0,100.0,500.0,0.1,10.057094,7.575794999999999,3.7192745,0.8441055,0.0
100,0.768,0.5,1.0,0.55,30.0,100.0,500.0,0.1,10.636978,7.253253,3.711811,0.9137775,0.0
100,0.77,0.5,1.0,0.55,30.0,100.0,500.0,0.1,11.5355805,8.040109000000001,3.7231495,0.8588985,0.0
100,0.772,0.5,1.0,0.55,30.0,100.0,500.0,0.1,11.5569845,8.2944675,3.7242480000000002,0.9372695,0.0
100,0.774,0.5,1.0,0.55,30.0,100.0,500.0,0.1,10.6944765,7.167957999999999,3.7374375,0.8634625,0.0
100,0.776,0.5,1.0,0.55,30.0,100.0,500.0,0.1,12.0724175,8.782798,3.7124360000000003,0.8842274999999999,0.0
100,0.778,0.5,1.0,0.55,30.0,100.0,500.0,0.1,12.777903,9.631759,3.7609835,0.8748820000000002,0.0
100,0.78,0.5,1.0,0.55,30.0,100.0,500.0,0.1,13.703645,10.1575125,3.7007865,0.88534,0.0
100,0.782,0.5,1.0,0.55,30.0,100.0,500.0,0.1,15.673473000000001,13.991273499999998,3.622572,0.876313,0.0
100,0.784,0.5,1.0,0.55,30.0,100.0,500.0,0.1,14.322849999999999,12.734388500000001,3.7005179999999998,0.8921344999999999,0.0
100,0.786,0.5,1.0,0.55,30.0,100.0,500.0,0.1,15.2083245,11.742381,3.6957154999999995,0.8951395,0.0
100,0.788,0.5,1.0,0.55,30.0,100.0,500.0,0.1,16.8212015,13.327303,3.7737809999999996,0.9232215,0.0
100,0.79,0.5,1.0,0.55,30.0,100.0,500.0,0.1,15.423544999999999,13.948667499999999,3.7195985,0.9374365000000001,0.0
100,0.792,0.5,1.0,0.55,30.0,100.0,500.0,0.1,17.4766775,15.867674,3.680971,0.878881,0.0
100,0.794,0.5,1.0,0.55,30.0,100.0,500.0,0.1,20.6745235,19.270440999999998,3.6776165,0.8780619999999999,0.0
100,0.796,0.5,1.0,0.55,30.0,100.0,500.0,0.1,18.775202,14.6609765,3.7374345,0.8945974999999999,0.0
100,0.798,0.5,1.0,0.55,30.0,100.0,500.0,0.1,19.9235035,18.065732,3.688761,0.800737,0.0
100,0.8,0.5,1.0,0.55,30.0,100.0,500.0,0.1,18.2104425,15.444937500000002,3.742233,0.8808155000000001,0.0
100,0.802,0.5,1.0,0.55,30.0,100.0,500.0,0.1,18.583295,14.628556999999999,3.7218264999999997,0.9510545,0.0
100,0.804,0.5,1.0,0.55,30.0,100.0,500.0,0.1,20.267266,15.8873705,3.6860289999999996,0.8986780000000001,0.0
100,0.806,0.5,1.0,0.55,30.0,100.0,500.0,0.1,22.279047,19.932070500000002,3.7317975,0.9169484999999999,0.0
100,0.808,0.5,1.0,0.55,30.0,100.0,500.0,0.1,18.8832775,16.454126000000002,3.6840520000000003,0.8880145,0.0
100,0.81,0.5,1.0,0.55,30.0,100.0,500.0,0.1,19.308107,15.8019905,3.7185325000000002,0.9092645,0.0
100,0.812,0.5,1.0,0.55,30.0,100.0,500.0,0.1,20.431714,16.186754999999998,3.718192,0.9327165,0.0
100,0.814,0.5,1.0,0.55,30.0,100.0,500.0,0.1,33.5052715,30.5610505,3.775464,0.9364555000000001,0.0
100,0.816,0.5,1.0,0.55,30.0,100.0,500.0,0.1,27.383965500000002,22.643244000000003,3.74398,0.9189895000000001,0.0
100,0.818,0.5,1.0,0.55,30.0,100.0,500.0,0.1,26.5119895,19.779543500000003,3.6934005,0.863373,0.0
100,0.82,0.5,1.0,0.55,30.0,100.0,500.0,0.1,31.1687915,20.3576635,3.707563,0.8981334999999999,0.0
100,0.822,0.5,1.0,0.55,30.0,100.0,500.0,0.1,47.3686995,34.674455,3.6738540000000004,0.9016850000000001,0.0
100,0.824,0.5,1.0,0.55,30.0,100.0,500.0,0.1,30.3507545,23.4597555,3.6962849999999996,0.8992285,0.0
100,0.826,0.5,1.0,0.55,30.0,100.0,500.0,0.1,50.515966500000005,41.9702895,3.7345305,0.912382,0.0
100,0.828,0.5,1.0,0.55,30.0,100.0,500.0,0.1,49.27622050000001,30.8207375,3.685318,0.900024,0.0
100,0.83,0.5,1.0,0.55,30.0,100.0,500.0,0.1,41.466706,29.8113355,3.7113869999999998,0.944601,0.0
100,0.832,0.5,1.0,0.55,30.0,100.0,500.0,0.1,72.4291125,48.72516950000001,3.733037,0.9299364999999999,0.0
100,0.834,0.5,1.0,0.55,30.0,100.0,500.0,0.1,140.0396775,61.95142799999999,3.7590345000000003,0.9275280000000001,0.0
100,0.836,0.5,1.0,0.55,30.0,100.0,500.0,0.1,199.586885,123.105366,3.7888529999999996,0.9210240000000001,0.0
100,0.838,0.5,1.0,0.55,30.0,100.0,500.0,0.1,193.80932049999998,108.51716950000001,3.7288945,0.9292545000000001,0.0
100,0.84,0.5,1.0,0.55,30.0,100.0,500.0,0.1,137.0671155,83.128891,3.7134495,0.9087910000000001,0.0
100,0.842,0.5,1.0,0.55,30.0,100.0,500.0,0.1,230.9098705,123.45768600000001,3.7648225,0.8984810000000001,0.0013615
100,0.844,0.5,1.0,0.55,30.0,100.0,500.0,0.1,249.45762200000001,145.05266849999998,3.7697235,0.9519165,0.0030915
100,0.846,0.5,1.0,0.55,30.0,100.0,500.0,0.1,198.11533050000003,103.66815150000001,3.7545475,0.872684,0.0
100,0.848,0.5,1.0,0.55,30.0,100.0,500.0,0.1,250.263562,126.425231,3.740391,0.8881195000000001,0.0034375
100,0.85,0.5,1.0,0.55,30.0,100.0,500.0,0.1,279.36438699999997,163.66781600000002,3.7494615,0.929484,0.0027485
100,0.852,0.5,1.0,0.55,30.0,100.0,500.0,0.1,298.16535,175.2923675,3.750215,0.8689709999999999,0.004878
