RelayBuffer,ArrivalRate,Run,NumSources,CommnArrivalRate,NumCopies,NumRelays,SourceBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay,FractionDropped
5,0.685,0.5,1.0,0.55,10.0,50.0,500.0,0.1,300.7445125,157.503503,3.3185884999999997,1.4766029999999999,6.9e-05
5,0.686,0.5,1.0,0.55,10.0,50.0,500.0,0.1,212.376419,157.464588,3.3020695,1.4653005000000001,0.0
5,0.687,0.5,1.0,0.55,10.0,50.0,500.0,0.1,200.3071505,146.7593295,3.2989085,1.458544,0.0005365
5,0.688,0.5,1.0,0.55,10.0,50.0,500.0,0.1,339.70298049999997,220.986153,3.308547,1.4604784999999998,0.0019655000000000002
5,0.689,0.5,1.0,0.55,10.0,50.0,500.0,0.1,401.7017105,210.66105950000002,3.3099920000000003,1.461447,0.0020365
5,0.69,0.5,1.0,0.55,10.0,50.0,500.0,0.1,426.73589749999996,188.111805,3.3069230000000003,1.4656665,0.0025694999999999997
5,0.691,0.5,1.0,0.55,10.0,50.0,500.0,0.1,483.071552,206.960759,3.316194,1.4644564999999998,0.004651499999999999
5,0.692,0.5,1.0,0.55,10.0,50.0,500.0,0.1,525.1564165,184.0803765,3.3056495000000004,1.4619095,0.0047945
5,0.693,0.5,1.0,0.55,10.0,50.0,500.0,0.1,440.7464485,180.753041,3.308847,1.4680175,0.003467
5,0.694,0.5,1.0,0.55,10.0,50.0,500.0,0.1,510.35401550000006,194.0636225,3.3043449999999996,1.4629265,0.004536
5,0.695,0.5,1.0,0.55,10.0,50.0,500.0,0.1,597.9126005,158.31525,3.304425,1.45326,0.0098145
5,0.696,0.5,1.0,0.55,10.0,50.0,500.0,0.1,589.305391,167.0330855,3.304488,1.4566725,0.009225500000000001
9,0.685,0.5,1.0,0.55,10.0,50.0,500.0,0.1,229.9555135,135.728817,3.2960390000000004,1.4553699999999998,0.0005195
9,0.686,0.5,1.0,0.55,10.0,50.0,500.0,0.1,181.9936385,115.4500005,3.311084,1.4631325000000002,0.0
9,0.687,0.5,1.0,0.55,10.0,50.0,500.0,0.1,305.921977,202.1061205,3.3159615,1.4691345,0.000678
9,0.688,0.5,1.0,0.55,10.0,50.0,500.0,0.1,305.20678050000004,148.760801,3.3054215,1.4661724999999999,0.0004335
9,0.689,0.5,1.0,0.55,10.0,50.0,500.0,0.1,471.3340815,204.93117900000001,3.3104120000000004,1.4696954999999998,0.004385
9,0.69,0.5,1.0,0.55,10.0,50.0,500.0,0.1,492.462211,191.1427065,3.3070535000000003,1.465809,0.001712
9,0.691,0.5,1.0,0.55,10.0,50.0,500.0,0.1,476.78385699999995,200.5682845,3.310251,1.4689915,0.003771
9,0.692,0.5,1.0,0.55,10.0,50.0,500.0,0.1,478.0181745,170.169645,3.3064294999999997,1.4562985,0.001516
9,0.693,0.5,1.0,0.55,10.0,50.0,500.0,0.1,546.881402,185.28299199999998,3.303293,1.4565365,0.0056105
9,0.694,0.5,1.0,0.55,10.0,50.0,500.0,0.1,592.204486,142.9191215,3.3105089999999997,1.4679745,0.007259999999999999
9,0.695,0.5,1.0,0.55,10.0,50.0,500.0,0.1,582.9160244999999,182.0504275,3.3170765,1.474825,0.010239999999999999
9,0.696,0.5,1.0,0.55,10.0,50.0,500.0,0.1,572.0960685,179.3660445,3.3164309999999997,1.4716915,0.00847
13,0.685,0.5,1.0,0.55,10.0,50.0,500.0,0.1,285.86893799999996,226.7926285,3.3094375,1.470092,0.00034649999999999997
13,0.686,0.5,1.0,0.55,10.0,50.0,500.0,0.1,140.086151,108.55368100000001,3.3107895000000003,1.4677075,0.0
13,0.687,0.5,1.0,0.55,10.0,50.0,500.0,0.1,246.4719385,144.522485,3.3122524999999996,1.4626305,0.0006580000000000001
13,0.688,0.5,1.0,0.55,10.0,50.0,500.0,0.1,357.812697,178.682232,3.311333,1.4648195000000002,0.0008805
13,0.689,0.5,1.0,0.55,10.0,50.0,500.0,0.1,412.6149215,226.646156,3.302943,1.4669235,0.0036409999999999997
13,0.69,0.5,1.0,0.55,10.0,50.0,500.0,0.1,378.21780850000005,127.99004450000001,3.3034875,1.4631625000000001,0.0023685
13,0.691,0.5,1.0,0.55,10.0,50.0,500.0,0.1,228.6336225,146.9628635,3.3155905,1.4722175,0.0006235
13,0.692,0.5,1.0,0.55,10.0,50.0,500.0,0.1,481.342924,156.295342,3.3053865,1.4601439999999999,0.005287
13,0.693,0.5,1.0,0.55,10.0,50.0,500.0,0.1,423.61127350000004,204.20705600000002,3.3069095,1.462228,0.0030549999999999996
13,0.694,0.5,1.0,0.55,10.0,50.0,500.0,0.1,519.4269155,194.212673,3.305535,1.4559985,0.007987000000000001
13,0.695,0.5,1.0,0.55,10.0,50.0,500.0,0.1,587.5253775,164.9389755,3.312056,1.4640195,0.008846
13,0.696,0.5,1.0,0.55,10.0,50.0,500.0,0.1,586.4137740000001,167.55125399999997,3.3072679999999997,1.4630805,0.0109075
