ArrivalRate,FIFO-Q,FIFO-D,STD-FIFO-Q,STD-FIFO-D,R-Q,R-D,STD-R-Q,STD-R-D,LIFO-Q,LIFO-D,STD-LIFO-Q,STD-LIFO-D
0.05,1.1426824545454546,2.4010990909090912,0.005480605246934619,0.02132029717173079,1.1431793636363636,2.424867545454546,0.006579173037285592,0.024506776301111564,1.1402949999999998,2.404324909090909,0.008975590565528262,0.027032362943163496
0.075,1.207092090909091,2.4189491818181814,0.006620651198402539,0.016340156148691998,1.2044754545454546,2.432297,0.008740265835358045,0.02411389422304074,1.2072699999999998,2.420463272727273,0.006317605163351113,0.031952053180009876
0.1,1.2715606363636363,2.4462189090909088,0.006443404461505199,0.015539406220667037,1.2735444545454546,2.4332328181818177,0.010927006208139897,0.020219407027992665,1.2699304545454546,2.441455636363637,0.010587314337107764,0.01810879668709508
0.125,1.3518930909090907,2.453365909090909,0.0076004505847291366,0.018516115475199112,1.3540349090909092,2.4430454545454547,0.009339517101590939,0.021424427980058846,1.351143818181818,2.447129909090909,0.006388249037383844,0.014017933103382417
0.15,1.4465658181818182,2.4646553636363633,0.007354467768889599,0.01682375106967965,1.447486090909091,2.469752363636364,0.011814593428929706,0.01748411953329489,1.4481212727272725,2.477415818181818,0.009265100529307914,0.017522319685579095
0.175,1.5533667272727276,2.4903149090909094,0.011168324038018474,0.017396661929545743,1.5478114545454547,2.493037727272727,0.013103113487745148,0.015788615190008952,1.5496748181818183,2.4903682727272733,0.014985051029730748,0.02015924287809907
0.2,1.6835620909090907,2.5226745454545454,0.011573341120476366,0.009376072134573586,1.680196181818182,2.5079552727272727,0.017277943557137635,0.008959397670501058,1.6809155454545455,2.507194909090909,0.015966768210026964,0.011916931966362357
0.225,1.8486589999999998,2.5353347272727276,0.024398831578581835,0.009154459187640933,1.8333265454545455,2.529705363636363,0.018955110563453014,0.011612956783461527,1.8414626363636364,2.5320925454545455,0.030746428502422037,0.01598171335848351
0.25,2.0182496363636364,2.556818272727273,0.02000728889816265,0.009953165849024267,2.0222813636363637,2.559677727272727,0.024629371734872733,0.013663302646804792,2.0309665454545454,2.549911272727273,0.028998692902831375,0.01509068080035427
0.275,2.248751909090909,2.579064181818181,0.026103073384007965,0.012916867172950205,2.255137090909091,2.5795556363636365,0.027840857585406966,0.009949407693654252,2.261559363636364,2.587918090909091,0.027656606506484892,0.004115542356835817
0.3,2.5784893636363635,2.6042594545454545,0.06072561686680955,0.016000977672402782,2.5654802727272727,2.608636636363636,0.03677579567348866,0.011089991400111446,2.549269,2.606340636363636,0.04139479408814584,0.009278228001862494
0.325,2.9542927272727266,2.6351233636363633,0.04437496285089356,0.010465923879646085,2.9530000909090903,2.638187090909091,0.06420847675728565,0.010552838513447762,2.9648554545454546,2.6427536363636364,0.040549525263222586,0.013543688997261664
0.35,3.468842454545455,2.673643363636364,0.08094241627028884,0.011996264095731764,3.494411454545455,2.679423636363636,0.062431592844270016,0.015098950779923428,3.5024057272727274,2.675524,0.09814285797559694,0.013908084346882559
0.375,4.263192,2.7160582727272726,0.14093909682199596,0.01650022606566902,4.2490926363636365,2.708800181818182,0.08350967157434272,0.014660778722961256,4.343067909090909,2.7164723636363637,0.12802940708404045,0.010174793396160236
0.4,5.50680009090909,2.7521423636363638,0.18226631026959134,0.013399291774364181,5.452081818181818,2.7626240909090907,0.14472222592664757,0.01143653130502895,5.434384181818182,2.7535332727272728,0.15761369221347382,0.012035372334007003
0.425,7.415654454545453,2.801181727272727,0.32954680080205995,0.011969204092928745,7.473541545454544,2.8041977272727276,0.3264130456958984,0.006739619026189984,7.377883363636365,2.7956307272727274,0.3150950653683018,0.012063169128308904
0.45,11.246221272727274,2.840969090909091,0.5054186455975072,0.010324925108247118,10.936459727272728,2.8477270000000003,0.7730063324017582,0.010767649585680213,11.495665,2.8489297272727274,0.8180157656129864,0.012525491711632758
