ArrivalRate,FIFO-Q,FIFO-D,STD-FIFO-Q,STD-FIFO-D,R-Q,R-D,STD-R-Q,STD-R-D,LIFO-Q,LIFO-D,STD-LIFO-Q,STD-LIFO-D
0.1,1.1145414545454546,2.6320810909090913,0.0055465822515065434,0.013622820210621134,1.1172882727272728,2.5292790000000003,0.007531005219635846,0.016858906132961267,1.1163102727272727,2.452961363636364,0.006525834108999535,0.025546639807507904
0.15,1.1605544545454547,2.791182,0.007420260997614976,0.02179339196637369,1.1624627272727273,2.619012727272727,0.004936021821080377,0.024520204269503406,1.1584461818181817,2.4835452727272727,0.005465949228051487,0.02229788193121006
0.2,1.2120946363636365,2.9387296363636364,0.0052046343055535856,0.0174468840270848,1.2112857272727273,2.720828909090909,0.0062561648490254895,0.01684914647366181,1.2113544545454547,2.5014380909090908,0.007845603932950468,0.01402820106396076
0.25,1.2673901818181819,3.144911090909091,0.006262959872427508,0.0204162602376367,1.2664406363636365,2.824058181818182,0.004405999711137768,0.015876518534100527,1.265139909090909,2.5386047272727272,0.008003283256945938,0.014446159033396362
0.3,1.3339073636363636,3.354266727272727,0.006050465970034457,0.020330393818570935,1.3341130909090908,2.9540569090909092,0.006626866973986243,0.016634992440362255,1.3324069090909092,2.577977636363636,0.007104338413315427,0.01519078540611179
0.35,1.410239909090909,3.5938689999999993,0.009677477423942071,0.02010303996414476,1.4058584545454544,3.0902639999999995,0.004575981563853482,0.013946740500919989,1.4070594545454547,2.6190663636363642,0.006752737183744638,0.016679808022113062
0.4,1.4939033636363634,3.872276909090908,0.005883024413900214,0.021118299550174573,1.4927769090909089,3.2381507272727275,0.010762118290137313,0.018267803338611253,1.491043090909091,2.657976636363636,0.010470729988444427,0.011877768875279039
0.45,1.5998525454545456,4.231506363636364,0.01225116008681331,0.030779312335634742,1.6005875454545455,3.429018363636364,0.012097783246228478,0.02380436143345466,1.6015138181818183,2.699509181818182,0.011327445685750897,0.015582130636200918
0.5,1.731600272727273,4.646305363636364,0.015364391592841522,0.02602648531505067,1.7220594545454544,3.638021181818182,0.014910868394319848,0.015116549843255816,1.731479090909091,2.742477545454545,0.011835076488595544,0.017170570697350934
0.55,1.8736577272727273,5.1311527272727275,0.015384290039458503,0.043968772953292386,1.8731617272727272,3.906935636363636,0.013061135410758977,0.013946116350243995,1.8700491818181817,2.7888541818181816,0.013120486552092348,0.011528360220067637
0.6,2.064277363636364,5.740932090909092,0.01855408160094553,0.03658787803482057,2.0536065454545454,4.219341,0.014480594306613468,0.028598657286662787,2.058805727272727,2.844356818181818,0.01909201554101046,0.014300904613472422
0.65,2.310055818181818,6.5733998181818185,0.020213609271073844,0.07205563783052375,2.3071140000000003,4.610506727272727,0.034569331396484916,0.054455188779566024,2.317680636363636,2.902792090909091,0.02152475875485116,0.012603989832227937
0.7,2.614055090909091,7.551261818181818,0.03156599985254567,0.061425032237383846,2.638121909090909,5.1471421818181815,0.035781877730087286,0.03937455806689953,2.6074764545454547,2.963031454545455,0.027922442709632903,0.01254582333179959
0.75,3.086825818181818,9.147276,0.05329142730837337,0.11274396021339694,3.0999110000000005,5.841616000000002,0.04775782768300924,0.0437287095304674,3.0730977272727276,3.0464719090909087,0.03364250726117456,0.01191175879922481
0.8,3.728351181818182,11.331423545454545,0.08603782745957517,0.24014863060919706,3.7488473636363637,6.945483090909092,0.1263936169996515,0.09068406610695667,3.7648206363636363,3.128921545454545,0.0896262278278772,0.013104693879397661
0.85,4.8660298181818185,15.169309454545454,0.17938172426131851,0.394900419618,4.944619363636364,8.679624545454546,0.23734745784451652,0.21030402896918743,4.818873,3.243384454545455,0.15704153921622138,0.018303033340753252
0.9,7.015058272727273,23.396781363636364,0.2458856155536921,0.7467906583797455,7.180214454545455,11.988358545454544,0.37823386207513504,0.3017074821499675,6.940234727272728,3.3905357272727272,0.26775905124349786,0.01208425243936031
0.91,7.730864818181817,25.45166045454545,0.365260662212294,1.2697682740067466,7.736714454545455,13.059974000000004,0.5261048202037997,0.5071387820023233,7.845978272727274,3.446421727272727,0.39274153851103966,0.021625416912008505
0.92,8.899838272727274,29.42451063636363,0.44486783758552184,1.0393406581488351,8.783698,14.515347999999996,0.5645174141556656,0.29878533290106485,8.733472545454545,3.4888068181818186,0.4802751990664023,0.025520695632439874
0.93,10.03016590909091,32.504236545454546,0.88988933800203,1.6347008211286442,9.774826909090908,16.27629509090909,0.6942174992236155,0.4497668125727941,9.803847909090909,3.5208840000000006,0.5672905128276787,0.0238850667447259
0.94,11.418103818181818,37.67877936363636,0.6951270573250355,1.7543724772377323,11.226179363636364,18.20249081818182,0.9449466890094143,1.215303869517811,11.68170209090909,3.5714368181818186,0.9593343264839901,0.033388683438608985
0.95,13.314642454545453,44.97506390909091,0.9759474199993935,1.8623495864834534,13.767518727272728,22.545257454545457,0.9599291529503717,1.613598898380968,14.203613545454544,3.6348509999999994,1.2350492778606337,0.02427882261148608
0.96,16.737896272727273,59.41612063636364,1.747438821754059,8.281198153562057,16.260650818181816,25.96908481818182,1.329570280924616,2.155822970378357,16.660097909090908,3.684212727272727,1.9996972066271668,0.03310623584188014
0.97,23.485382818181815,74.84390536363637,3.2324084421986568,8.144247525420578,21.67956763636364,32.625476545454546,3.1016926425704496,2.218699223662836,21.295791272727275,3.7636282727272725,2.51449926054724,0.05406111479444528
0.98,36.131775454545455,105.3563119090909,9.28459728262238,12.917013001088915,38.18826554545455,46.73910018181819,16.30794229966127,6.533379543672703,37.3845739090909,3.9729699999999997,12.375482052558862,0.12569928426685648
