NumCopies,AvgQDelay,AvgDDelay
5,0.10696181818181817,0.4713981818181818
10,0.22984036363636362,0.3242225454545454
15,0.37211600000000006,0.3133288181818182
20,0.5405233636363636,0.34332263636363636
25,0.7424917272727272,0.4036097272727273
30,0.9881627272727272,0.49384227272727266
