ArrivalRate,AvgQDelay,AvgDDelay
1.0,0.1848201818181818,0.1943901818181818
1.5,0.19714118181818183,0.21128145454545458
2.0,0.21246454545454546,0.23221572727272727
2.5,0.2319450909090909,0.2580566363636364
3.0,0.2574296363636364,0.29312954545454545
3.5,0.29186718181818183,0.3399888181818182
4.0,0.3409620909090909,0.40801236363636373
4.5,0.4178572727272727,0.5143007272727274
5.0,0.5537829090909091,0.7063992727272727
5.1,0.5949570909090909,0.7678863636363636
5.2,0.6486321818181818,0.8444526363636364
5.3,0.7072001818181817,0.9396642727272727
5.4,0.7816187272727273,1.057579090909091
5.5,0.8748212727272726,1.2079113636363639
5.6,0.9912483636363636,1.4116170909090908
5.7,1.1643933636363637,1.7130464545454545
5.8,1.393053181818182,2.139394909090909
5.9,1.7910925454545454,2.828790272727272
6.0,2.478989363636364,4.113358818181818
