ArrivalRate,FIFO-Q,FIFO-D,STD-FIFO-Q,STD-FIFO-D,R-Q,R-D,STD-R-Q,STD-R-D,LIFO-Q,LIFO-D,STD-LIFO-Q,STD-LIFO-D
0.1,0.986603090909091,2.4156627727272726,0.0068802707581626646,0.018386944871505734,0.9832768636363638,2.4253435909090912,0.005955225910675926,0.0146919896142312,0.9819434090909094,2.422319772727273,0.005239705986472461,0.017415415891105505
0.35,1.2124389545454546,2.500013272727273,0.0062608012379161545,0.01156510140437627,1.2070947727272727,2.5005188636363638,0.007348487300972469,0.009610042234164489,1.196287090909091,2.491734,0.005609285022846707,0.010208287426913333
0.6,1.6824524090909092,2.585000454545455,0.018608667869363892,0.013818613016085047,1.6494093636363638,2.5803795454545457,0.013790472389248113,0.010835619716504156,1.6260814999999995,2.5821451363636365,0.011175933521251284,0.009661976413685523
0.85,3.2086242272727263,2.6754835000000003,0.06311872548952537,0.010152770842765712,3.0935241363636363,2.6671275909090912,0.06956665358201138,0.012389218018518703,2.9771040454545457,2.6697920000000006,0.05116610274341989,0.007384518909435466
1.0,9.565558272727271,2.730468409090909,0.7482722543967655,0.00958669020623856,8.47565409090909,2.7238019090909087,0.4722603575417061,0.008705770997333226,7.603528227272729,2.7156201818181818,0.33142111713978645,0.006807924189860924
1.1,454.26813127272726,2.757145681818182,2.989979880203911,0.013162253897256544,455.2206780000001,2.7507982272727274,2.4150994469421967,0.01705206950694538,452.7861264090909,2.7467675454545453,10.41432972528678,0.011935251842565133
1.25,400.09993877272734,2.7590292272727273,7.346420986958626,0.034278087723697497,399.6136183181818,2.7305377727272724,4.562416831803378,0.029572940361292373,400.1690069090909,2.7490704090909093,6.220931305159772,0.03652480668526673
1.5,333.29799236363635,2.732419181818182,7.528760692865989,0.05459458211880809,333.3925565,2.7467947272727273,6.442236173287617,0.050092729382313496,331.03764354545456,2.7316424999999995,8.904003075394757,0.042152037809576944
1.75,282.17136081818177,2.7654290000000006,6.406885683029672,0.05676145364174368,287.2656342272728,2.734651772727273,9.51993665073197,0.0617862273040657,290.02651859090906,2.7386099545454545,7.002463601649137,0.04935066432078293
2.0,248.29048949999998,2.7374562727272727,6.7590409980089605,0.09169075875914028,249.4182215,2.716029818181818,7.0009744877453555,0.04633437197942001,251.55291786363634,2.748470090909091,9.059822039310934,0.07163094008271988
2.25,224.29793554545452,2.750913,6.942747571795658,0.0820797025765055,222.41344104545453,2.7416811363636358,6.062756859274449,0.08277426372472915,221.58932990909088,2.7369156363636367,5.440391138286109,0.08453803653951694
2.5,198.69037813636368,2.7317960909090906,7.8112113705989366,0.09001964962263397,202.98537877272727,2.7695425454545455,6.391191006671737,0.12170737718170666,201.14434386363635,2.743390181818182,6.15406515771213,0.09109627029197315
2.75,180.5770972272727,2.708038409090909,6.069306508243859,0.0915188861641653,182.94376422727274,2.766574909090909,6.5865639372783065,0.113319130571232,181.93584159090912,2.7572080909090917,5.522721056874684,0.11469479756205547
3.0,166.6576574545455,2.7357785,5.438851195468904,0.09961576571662499,167.72446159090907,2.7167858636363635,4.967305467424511,0.1211329816631274,166.18578054545458,2.7395630454545454,4.8243042786608346,0.12806663915302147
