Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,Source0Arrival,Source0Service,Source0AvgQLength,Source0AvgDelay,Source0ApproxDelay1,Source0ApproxDelay2,Source1Arrival,Source1Service,Source1AvgQLength,Source1AvgDelay,Source1ApproxDelay1,Source1ApproxDelay2
7,2,0.054000,0.054000,3,1,1,0.500000,0.053510,0.160526,9.881837,184.672709,411.428571,309.613507,0.054033,0.162065,12.611274,233.399485,411.428571,309.613507
7,2,0.054000,0.055000,3,1,1,0.500000,0.055170,0.165344,30.181791,547.068903,1140.000000,590.453489,0.054066,0.162021,20.009783,370.099198,1140.000000,590.453489
8,2,0.054000,0.052000,3,1,1,0.500000,0.051975,0.155903,7.180541,138.153753,183.750000,161.038902,0.054187,0.162557,11.350902,209.476471,183.750000,161.038902
8,2,0.054000,0.053000,3,1,1,0.500000,0.053018,0.159042,9.845446,185.700060,253.043478,211.198797,0.053943,0.161818,11.240394,208.375391,253.043478,211.198797
8,2,0.054000,0.054000,3,1,1,0.500000,0.053969,0.161892,12.316690,228.217860,411.428571,309.613507,0.054011,0.162015,15.048952,278.627533,411.428571,309.613507
8,2,0.054000,0.055000,3,1,1,0.500000,0.055140,0.165407,27.145490,492.301242,1140.000000,590.453489,0.054062,0.162150,19.979222,369.561278,1140.000000,590.453489
9,2,0.054000,0.052000,3,1,1,0.500000,0.052075,0.156225,6.940769,133.284089,183.750000,161.038902,0.054286,0.162807,12.372069,227.905338,183.750000,161.038902
9,2,0.054000,0.053000,3,1,1,0.500000,0.052842,0.158523,8.413578,159.221407,253.043478,211.198797,0.053729,0.161187,10.256327,190.889975,253.043478,211.198797
9,2,0.054000,0.054000,3,1,1,0.500000,0.054266,0.162777,17.133095,315.724311,411.428571,309.613507,0.054021,0.161982,16.706823,309.265339,411.428571,309.613507
9,2,0.054000,0.055000,3,1,1,0.500000,0.054800,0.164400,20.668535,377.163041,1140.000000,590.453489,0.053830,0.161490,14.273562,265.159983,1140.000000,590.453489
10,2,0.054000,0.052000,3,1,1,0.500000,0.051535,0.154552,6.698594,129.981448,183.750000,161.038902,0.054053,0.162137,9.032932,167.112508,183.750000,161.038902
10,2,0.054000,0.053000,3,1,1,0.500000,0.053026,0.159057,9.513685,179.415483,253.043478,211.198797,0.054106,0.162281,13.350063,246.739049,253.043478,211.198797
10,2,0.054000,0.054000,3,1,1,0.500000,0.054203,0.162577,14.660216,270.468722,411.428571,309.613507,0.054107,0.162302,12.956999,239.469913,411.428571,309.613507
10,2,0.054000,0.055000,3,1,1,0.500000,0.055454,0.166305,28.807159,519.478464,1140.000000,590.453489,0.053654,0.160962,15.529212,289.432503,1140.000000,590.453489
