Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,Source0Arrival,Source0Service,Source0AvgQLength,Source0AvgDelay,Source0ApproxDelay1,Source0ApproxDelay2,Source1Arrival,Source1Service,Source1AvgQLength,Source1AvgDelay,Source1ApproxDelay1,Source1ApproxDelay2
0,2,0.410000,0.390000,2,5,1,0.500000,0.392440,0.784650,8.186753,20.861159,26.775000,24.767209,0.408470,0.816940,11.218576,27.464873,26.775000,24.767209
0,2,0.410000,0.400000,2,5,1,0.500000,0.397070,0.793500,13.007967,32.759883,42.400000,37.485435,0.409700,0.819390,16.931021,41.325412,42.400000,37.485435
0,2,0.410000,0.410000,2,5,1,0.500000,0.410010,0.819330,18.146014,44.257492,104.900000,78.781364,0.410530,0.820100,23.789796,57.948983,104.900000,78.781364
1,2,0.410000,0.390000,2,5,1,0.500000,0.386090,0.772180,8.280490,21.447046,26.775000,24.767209,0.410640,0.821280,14.052409,34.220749,26.775000,24.767209
1,2,0.410000,0.400000,2,5,1,0.500000,0.402570,0.804950,12.233846,30.389363,42.400000,37.485435,0.408030,0.815930,16.696732,40.920353,42.400000,37.485435
1,2,0.410000,0.410000,2,5,1,0.500000,0.412450,0.824800,34.208403,82.939516,104.900000,78.781364,0.406680,0.813140,28.156571,69.235201,104.900000,78.781364
2,2,0.410000,0.390000,2,5,1,0.500000,0.389880,0.779750,6.702612,17.191475,26.775000,24.767209,0.405320,0.810620,10.405942,25.673399,26.775000,24.767209
2,2,0.410000,0.400000,2,5,1,0.500000,0.400280,0.800160,11.484033,28.690000,42.400000,37.485435,0.412040,0.823090,18.341148,44.513028,42.400000,37.485435
2,2,0.410000,0.410000,2,5,1,0.500000,0.413810,0.826260,61.943685,149.691127,104.900000,78.781364,0.416510,0.832020,47.238645,113.415392,104.900000,78.781364
3,2,0.410000,0.390000,2,5,1,0.500000,0.388080,0.776120,8.211298,21.158777,26.775000,24.767209,0.408240,0.816020,14.650638,35.887317,26.775000,24.767209
3,2,0.410000,0.400000,2,5,1,0.500000,0.399430,0.798750,11.991360,30.021180,42.400000,37.485435,0.404300,0.808270,11.992267,29.661802,42.400000,37.485435
3,2,0.410000,0.410000,2,5,1,0.500000,0.409450,0.818660,27.582059,67.363681,104.900000,78.781364,0.411350,0.822560,29.662130,72.109226,104.900000,78.781364
