Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,Source0Arrival,Source0Service,Source0AvgQLength,Source0AvgDelay
0,1,0.050000,0.050000,2,5,1,0.500000,0.048500,0.097000,0.046609,0.961018
0,1,0.050000,0.100000,2,5,1,0.500000,0.100300,0.200600,0.106113,1.057960
0,1,0.050000,0.150000,2,5,1,0.500000,0.150320,0.300640,0.177773,1.182633
0,1,0.050000,0.200000,2,5,1,0.500000,0.200640,0.401280,0.269197,1.341690
0,1,0.050000,0.250000,2,5,1,0.500000,0.250640,0.501280,0.384276,1.533181
0,1,0.050000,0.300000,2,5,1,0.500000,0.300660,0.601320,0.535913,1.782454
0,1,0.050000,0.350000,2,5,1,0.500000,0.348750,0.697450,0.739078,2.119221
0,1,0.050000,0.400000,2,5,1,0.500000,0.400510,0.801020,1.023098,2.554487
0,1,0.050000,0.450000,2,5,1,0.500000,0.450550,0.901100,1.560108,3.462674
0,1,0.050000,0.500000,2,5,1,0.500000,0.502200,1.004400,2.471433,4.921212
0,1,0.050000,0.550000,2,5,1,0.500000,0.550750,1.101480,4.664169,8.468759
0,1,0.050000,0.600000,2,5,1,0.500000,0.595150,1.190300,14.224105,23.900034
0,1,0.050000,0.650000,2,5,1,0.500000,0.649480,1.251350,1307.553151,2013.230816
1,1,0.050000,0.050000,2,5,1,0.500000,0.050480,0.100960,0.049227,0.975185
1,1,0.050000,0.100000,2,5,1,0.500000,0.101580,0.203160,0.109568,1.078641
1,1,0.050000,0.150000,2,5,1,0.500000,0.149100,0.298190,0.178796,1.199168
1,1,0.050000,0.200000,2,5,1,0.500000,0.198080,0.396160,0.263519,1.330368
1,1,0.050000,0.250000,2,5,1,0.500000,0.251940,0.503880,0.388682,1.542756
1,1,0.050000,0.300000,2,5,1,0.500000,0.301770,0.603540,0.550232,1.823349
1,1,0.050000,0.350000,2,5,1,0.500000,0.353970,0.707940,0.758197,2.141980
1,1,0.050000,0.400000,2,5,1,0.500000,0.400950,0.801870,1.037755,2.588242
1,1,0.050000,0.450000,2,5,1,0.500000,0.450490,0.900950,1.555347,3.452567
1,1,0.050000,0.500000,2,5,1,0.500000,0.499000,0.997980,2.480281,4.970503
1,1,0.050000,0.550000,2,5,1,0.500000,0.555650,1.111020,4.980221,8.962874
