Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,Source0Arrival,Source0Service,Source0AvgQLength,Source0AvgDelay
7,1,0.010000,0.050000,3,1,1,0.500000,0.049959,0.149877,1.019081,20.398355
7,1,0.010000,0.060000,3,1,1,0.500000,0.060143,0.180417,1.682954,27.982534
7,1,0.010000,0.070000,3,1,1,0.500000,0.070230,0.210683,3.330201,47.418490
7,1,0.010000,0.080000,3,1,1,0.500000,0.080158,0.240336,18.273754,227.971687
8,1,0.010000,0.010000,3,1,1,0.500000,0.009987,0.029961,0.109804,10.994691
8,1,0.010000,0.020000,3,1,1,0.500000,0.020216,0.060645,0.246437,12.190215
8,1,0.010000,0.030000,3,1,1,0.500000,0.030133,0.090399,0.419145,13.909841
8,1,0.010000,0.040000,3,1,1,0.500000,0.039823,0.119469,0.656229,16.478633
8,1,0.010000,0.050000,3,1,1,0.500000,0.049940,0.149814,1.006570,20.155583
8,1,0.010000,0.060000,3,1,1,0.500000,0.059600,0.178800,1.687099,28.307037
8,1,0.010000,0.070000,3,1,1,0.500000,0.069932,0.209796,3.175058,45.402073
8,1,0.010000,0.080000,3,1,1,0.500000,0.080115,0.240330,14.887092,185.821530
9,1,0.010000,0.010000,3,1,1,0.500000,0.010012,0.030036,0.109818,10.968650
9,1,0.010000,0.020000,3,1,1,0.500000,0.019987,0.059961,0.245377,12.276845
9,1,0.010000,0.030000,3,1,1,0.500000,0.030059,0.090177,0.422914,14.069472
9,1,0.010000,0.040000,3,1,1,0.500000,0.039956,0.119868,0.653047,16.344143
9,1,0.010000,0.050000,3,1,1,0.500000,0.049904,0.149708,1.008554,20.209883
9,1,0.010000,0.060000,3,1,1,0.500000,0.060025,0.180075,1.690323,28.160318
9,1,0.010000,0.070000,3,1,1,0.500000,0.069783,0.209348,3.170147,45.428639
9,1,0.010000,0.080000,3,1,1,0.500000,0.079905,0.239705,14.437584,180.684365
10,1,0.010000,0.010000,3,1,1,0.500000,0.009973,0.029919,0.109422,10.971777
10,1,0.010000,0.020000,3,1,1,0.500000,0.020037,0.060111,0.245866,12.270593
10,1,0.010000,0.030000,3,1,1,0.500000,0.029986,0.089958,0.419837,14.001100
10,1,0.010000,0.040000,3,1,1,0.500000,0.040411,0.121233,0.677564,16.766821
10,1,0.010000,0.050000,3,1,1,0.500000,0.049985,0.149948,1.016303,20.332163
10,1,0.010000,0.060000,3,1,1,0.500000,0.059963,0.179882,1.683009,28.067455
10,1,0.010000,0.070000,3,1,1,0.500000,0.070054,0.210161,3.470735,49.543706
10,1,0.010000,0.080000,3,1,1,0.500000,0.079818,0.239443,13.033495,163.290179
