Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay
0,1,0.900000,0.400000,5,50,2,0.100000,1.971460,1.998799,3.005593,2.649849
1,1,0.900000,0.400000,5,50,2,0.100000,1.937769,1.825360,3.006619,2.674553
2,1,0.900000,0.400000,5,50,2,0.100000,1.976165,1.923913,3.028074,2.693285
3,1,0.900000,0.400000,5,50,2,0.100000,1.984868,1.983605,3.040988,2.687980
4,1,0.900000,0.400000,5,50,2,0.100000,1.981152,1.951285,3.004795,2.655395
5,1,0.900000,0.400000,5,50,2,0.100000,1.976880,1.952174,2.997704,2.650185
6,1,0.900000,0.400000,5,50,2,0.100000,1.976419,1.950526,3.021837,2.672750
7,1,0.900000,0.400000,5,50,2,0.100000,1.944012,1.858337,3.001365,2.612549
8,1,0.900000,0.400000,5,50,2,0.100000,1.989738,2.032462,3.014793,2.673402
9,1,0.900000,0.400000,5,50,2,0.100000,1.959253,1.906523,3.004796,2.670916
10,1,0.900000,0.400000,5,50,2,0.100000,1.946665,1.839198,3.000152,2.652079
