Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay
0,1,0.900000,0.010000,5,1,100,0.100000,181.814575,129.494956,18.553556,35.535384
1,1,0.900000,0.010000,5,1,100,0.100000,169.485741,109.452064,16.885678,34.647559
2,1,0.900000,0.010000,5,1,100,0.100000,167.872922,119.443586,18.325346,36.525940
3,1,0.900000,0.010000,5,1,100,0.100000,176.190811,110.109143,17.653733,35.212675
4,1,0.900000,0.010000,5,1,100,0.100000,178.338805,137.886914,16.624701,31.787892
5,1,0.900000,0.010000,5,1,100,0.100000,170.713341,111.794202,18.209504,32.845068
6,1,0.900000,0.010000,5,1,100,0.100000,180.242301,130.663990,17.352238,37.406533
7,1,0.900000,0.010000,5,1,100,0.100000,185.661384,143.068294,17.992475,49.576254
8,1,0.900000,0.010000,5,1,100,0.100000,179.215433,135.958012,18.858317,45.810519
9,1,0.900000,0.010000,5,1,100,0.100000,165.257588,102.282660,16.921833,31.635874
10,1,0.900000,0.010000,5,1,100,0.100000,169.629776,119.323823,15.219187,22.639592
