ArrivalRate,AvgQDelay,AvgDDelay
0.05,1.0360472272727272,2.8120640454545454
0.075,1.0524770454545456,2.8134674545454548
0.1,1.0731368636363638,2.827173363636363
0.125,1.094844090909091,2.836119772727273
0.15,1.1155017272727277,2.8376741818181825
0.175,1.1384048636363637,2.8416288181818183
0.2,1.1632911363636367,2.847810909090909
0.225,1.1867242272727276,2.8615528181818184
0.25,1.2176027272727272,2.862253318181818
0.275,1.2465874090909088,2.870988727272727
0.3,1.2830495000000002,2.873210409090909
0.325,1.3167409545454545,2.8793689090909096
0.35,1.354825272727273,2.8870451818181815
0.375,1.3984053636363636,2.894200090909091
0.4,1.4436694545454545,2.901999045454545
0.425,1.4962930909090908,2.908065681818182
0.45,1.550077227272727,2.90477659090909
0.455,1.558007818181818,2.912511318181818
0.46,1.5710241818181816,2.917597181818182
0.465,1.5820302272727274,2.9157155454545456
0.47,1.594295909090909,2.915772772727273
0.475,1.6086351363636369,2.914978409090909
0.48,1.6198764090909092,2.9200055909090916
0.485,1.630813772727273,2.9208296363636364
0.49,1.6424740909090907,2.9186295454545457
