ArrivalRate,AvgQDelay,AvgDDelay
0.05,0.9586070909090908,2.394920045454546
0.1,0.9949023181818183,2.405679681818182
0.15,1.0399168636363638,2.417745227272727
0.2,1.0845251363636363,2.4221885000000003
0.25,1.1381559545454545,2.4291674545454547
0.3,1.2020929545454546,2.442311227272727
0.35,1.2734578181818184,2.4462924545454547
0.4,1.365294681818182,2.460820454545454
0.45,1.4701155454545458,2.468552363636363
0.5,1.599655,2.4786598636363637
0.55,1.7498547727272729,2.485355045454545
0.6,1.9527869090909091,2.4970267272727273
0.65,2.244372636363636,2.501089772727273
0.7,2.666777590909091,2.510218863636364
0.75,3.3067361363636363,2.5213887272727273
0.8,4.598503272727274,2.527451409090909
0.85,8.166065363636365,2.5352772272727275
0.9,148.87967577272727,2.5484982727272727
0.95,265.8980420454546,2.5528840454545456
1.0,255.59051663636365,2.551846727272727
1.05,281.27583740909085,2.5687570454545456
1.1,455.41643327272726,2.562773409090909
1.15,434.31083440909083,2.5704485909090913
1.2,420.8163385909091,2.563439818181818
1.25,399.7386522727273,2.5666052272727278
1.3,384.8014172727273,2.559152
1.35,368.69776586363645,2.5703180909090904
