ArrivalRate,AvgQDelay,AvgDDelay
0.0833,1.0989191818181816,2.4498337272727273
0.12495,1.136509,2.4614763636363635
0.1666,1.1807269090909092,2.4925015454545454
0.20825,1.2186539090909092,2.5133829090909092
0.2499,1.2703576363636364,2.543783636363637
0.29155,1.3225287272727273,2.563781272727273
0.3332,1.3863367272727272,2.604206727272727
0.37485,1.4609994545454545,2.6322726363636364
0.4165,1.5498733636363633,2.668170636363637
0.45815,1.6583209090909088,2.703946454545455
0.4998,1.7834103636363636,2.7399412727272723
0.54145,1.9611339090909092,2.783135909090909
0.5831,2.184546272727273,2.8281111818181817
0.62475,2.5195173636363637,2.877966363636364
0.6664,3.0672060909090915,2.9534033636363635
0.70805,4.059979181818182,3.0307326363636364
0.7497,6.145749090909091,3.155886818181818
0.75803,6.805754727272728,3.185325818181818
0.76636,7.587282454545456,3.2050533636363627
0.77469,9.536805545454547,3.266456636363636
0.7830199999999999,10.617194818181819,3.2736134545454547
0.79135,12.840391454545454,3.3084041818181817
0.7996800000000001,15.607618454545452,3.328036909090909
0.80801,19.734010545454545,3.3456640909090907
0.81634,31.24631036363637,3.346642272727273
