ArrivalRate,AvgQDelay,AvgDDelay
0.05,1.1402949999999998,2.404324909090909
0.075,1.2072699999999998,2.420463272727273
0.1,1.2699304545454546,2.441455636363637
0.125,1.351143818181818,2.447129909090909
0.15,1.4481212727272725,2.477415818181818
0.175,1.5496748181818183,2.4903682727272733
0.2,1.6809155454545455,2.507194909090909
0.225,1.8414626363636364,2.5320925454545455
0.25,2.0309665454545454,2.549911272727273
0.275,2.261559363636364,2.587918090909091
0.3,2.549269,2.606340636363636
0.325,2.9648554545454546,2.6427536363636364
0.35,3.5024057272727274,2.675524
0.375,4.343067909090909,2.7164723636363637
0.4,5.434384181818182,2.7535332727272728
0.425,7.377883363636365,2.7956307272727274
0.45,11.495665,2.8489297272727274
0.455,12.11019890909091,2.8532859090909093
0.46,14.14528627272727,2.868229272727273
0.465,16.118838727272728,2.872823
0.47,18.45983963636364,2.8717965454545453
0.475,22.19298309090909,2.8807608181818187
0.48,30.407955636363635,2.896282181818182
0.485,34.704406363636366,2.8928613636363636
0.49,49.481379818181814,2.8934850909090906
