Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,Source0Arrival,Source0Service,Source0AvgQLength,Source0AvgDelay,Source0ApproxDelay1,Source0ApproxDelay2
0,1,0.120000,0.120000,2,10,1,0.090909,0.120317,0.240634,0.615360,5.114492,7.476285,18.135302
0,1,0.120000,0.121000,2,10,1,0.090909,0.120722,0.241444,0.622237,5.154298,7.531109,18.524527
0,1,0.120000,0.122000,2,10,1,0.090909,0.121925,0.243850,0.635379,5.211228,7.586975,18.932831
0,1,0.120000,0.123000,2,10,1,0.090909,0.122742,0.245483,0.638830,5.204655,7.643912,19.361650
0,1,0.120000,0.124000,2,10,1,0.090909,0.124173,0.248346,0.653962,5.266542,7.701952,19.812573
0,1,0.120000,0.125000,2,10,1,0.090909,0.124377,0.248751,0.664644,5.343788,7.761126,20.287352
0,1,0.120000,0.126000,2,10,1,0.090909,0.125809,0.251618,0.685309,5.447214,7.821470,20.787933
1,1,0.120000,0.120000,2,10,1,0.090909,0.119759,0.239518,0.602532,5.031202,7.476285,18.135302
1,1,0.120000,0.121000,2,10,1,0.090909,0.121395,0.242790,0.636198,5.240725,7.531109,18.524527
1,1,0.120000,0.122000,2,10,1,0.090909,0.122278,0.244556,0.639557,5.230349,7.586975,18.932831
1,1,0.120000,0.123000,2,10,1,0.090909,0.122831,0.245662,0.647265,5.269561,7.643912,19.361650
1,1,0.120000,0.124000,2,10,1,0.090909,0.123703,0.247404,0.644515,5.210182,7.701952,19.812573
1,1,0.120000,0.125000,2,10,1,0.090909,0.125030,0.250058,0.674828,5.397325,7.761126,20.287352
1,1,0.120000,0.126000,2,10,1,0.090909,0.126131,0.252262,0.679336,5.385953,7.821470,20.787933
2,1,0.120000,0.120000,2,10,1,0.090909,0.120484,0.240966,0.617267,5.123231,7.476285,18.135302
2,1,0.120000,0.121000,2,10,1,0.090909,0.120979,0.241958,0.621265,5.135310,7.531109,18.524527
2,1,0.120000,0.122000,2,10,1,0.090909,0.121693,0.243386,0.628728,5.166513,7.586975,18.932831
2,1,0.120000,0.123000,2,10,1,0.090909,0.122948,0.245896,0.651338,5.297670,7.643912,19.361650
2,1,0.120000,0.124000,2,10,1,0.090909,0.123876,0.247750,0.650346,5.249978,7.701952,19.812573
2,1,0.120000,0.125000,2,10,1,0.090909,0.124319,0.248638,0.659557,5.305358,7.761126,20.287352
2,1,0.120000,0.126000,2,10,1,0.090909,0.126153,0.252305,0.680102,5.391090,7.821470,20.787933
3,1,0.120000,0.120000,2,10,1,0.090909,0.119232,0.238464,0.598905,5.023023,7.476285,18.135302
3,1,0.120000,0.121000,2,10,1,0.090909,0.121226,0.242450,0.624451,5.151129,7.531109,18.524527
3,1,0.120000,0.122000,2,10,1,0.090909,0.121746,0.243492,0.635494,5.219839,7.586975,18.932831
3,1,0.120000,0.123000,2,10,1,0.090909,0.122378,0.244756,0.634675,5.186186,7.643912,19.361650
3,1,0.120000,0.124000,2,10,1,0.090909,0.123910,0.247820,0.663275,5.352876,7.701952,19.812573
3,1,0.120000,0.125000,2,10,1,0.090909,0.125357,0.250713,0.674257,5.378698,7.761126,20.287352
3,1,0.120000,0.126000,2,10,1,0.090909,0.126427,0.252851,0.679698,5.376206,7.821470,20.787933
4,1,0.120000,0.120000,2,10,1,0.090909,0.120505,0.241006,0.616439,5.115460,7.476285,18.135302
4,1,0.120000,0.121000,2,10,1,0.090909,0.121003,0.242006,0.625391,5.168393,7.531109,18.524527
4,1,0.120000,0.122000,2,10,1,0.090909,0.121764,0.243528,0.623950,5.124257,7.586975,18.932831
4,1,0.120000,0.123000,2,10,1,0.090909,0.123067,0.246132,0.650953,5.289419,7.643912,19.361650
4,1,0.120000,0.124000,2,10,1,0.090909,0.124670,0.249338,0.663360,5.320925,7.701952,19.812573
