Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,Source0Arrival,Source0Service,Source0AvgQLength,Source0AvgDelay,Source0ApproxDelay1,Source0ApproxDelay2
6,1,0.220000,0.226000,2,1,10,0.500000,0.226058,0.451852,102.129442,451.784242,-3.188119,3.298944
6,1,0.220000,0.227000,2,1,10,0.500000,0.226578,0.452880,102.065433,450.464887,-3.127451,3.319960
7,1,0.220000,0.221000,2,1,10,0.500000,0.221826,0.443647,28.830107,129.967212,-3.510417,3.190092
7,1,0.220000,0.222000,2,1,10,0.500000,0.221862,0.443705,23.739383,107.000674,-3.443299,3.212380
7,1,0.220000,0.223000,2,1,10,0.500000,0.222152,0.444282,25.316797,113.961600,-3.377551,3.234405
7,1,0.220000,0.224000,2,1,10,0.500000,0.223785,0.447558,51.205178,228.814167,-3.313131,3.256171
7,1,0.220000,0.225000,2,1,10,0.500000,0.224870,0.449520,46.165472,205.298492,-3.250000,3.277683
7,1,0.220000,0.226000,2,1,10,0.500000,0.225939,0.451867,113.107748,500.611881,-3.188119,3.298944
7,1,0.220000,0.227000,2,1,10,0.500000,0.228143,0.455006,354.681410,1554.645156,-3.127451,3.319960
8,1,0.220000,0.221000,2,1,10,0.500000,0.221014,0.441999,19.023869,86.075405,-3.510417,3.190092
8,1,0.220000,0.222000,2,1,10,0.500000,0.222382,0.444763,27.342707,122.953776,-3.443299,3.212380
8,1,0.220000,0.223000,2,1,10,0.500000,0.223052,0.446071,36.115229,161.913942,-3.377551,3.234405
8,1,0.220000,0.224000,2,1,10,0.500000,0.224311,0.448492,45.233216,201.654027,-3.313131,3.256171
8,1,0.220000,0.225000,2,1,10,0.500000,0.225170,0.450196,49.403883,219.407040,-3.250000,3.277683
8,1,0.220000,0.226000,2,1,10,0.500000,0.225716,0.451424,73.194848,324.278509,-3.188119,3.298944
8,1,0.220000,0.227000,2,1,10,0.500000,0.227209,0.453753,161.741179,711.860793,-3.127451,3.319960
9,1,0.220000,0.221000,2,1,10,0.500000,0.220758,0.441499,23.558106,106.714620,-3.510417,3.190092
