Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,Source0Arrival,Source0Service,Source0AvgQLength,Source0AvgDelay,Source0ApproxDelay1,Source0ApproxDelay2
0,1,0.220000,0.221000,2,10,1,0.090909,0.220837,0.441657,18.760944,84.953808,101.291293,-5.191949
0,1,0.220000,0.222000,2,10,1,0.090909,0.221798,0.443568,22.722542,102.447010,120.189594,-5.107604
0,1,0.220000,0.223000,2,10,1,0.090909,0.222892,0.445764,28.915114,129.727014,147.934378,-5.025107
0,1,0.220000,0.224000,2,10,1,0.090909,0.224620,0.448917,49.920233,222.243044,192.635487,-4.944397
0,1,0.220000,0.225000,2,10,1,0.090909,0.225206,0.450165,52.234741,231.942048,276.677504,-4.865416
0,1,0.220000,0.226000,2,10,1,0.090909,0.225405,0.450701,69.465721,308.181811,492.809137,-4.788110
0,1,0.220000,0.227000,2,10,1,0.090909,0.226517,0.452736,130.642154,576.743264,2295.227983,-4.712427
1,1,0.220000,0.221000,2,10,1,0.090909,0.221001,0.441989,21.997611,99.536251,101.291293,-5.191949
1,1,0.220000,0.222000,2,10,1,0.090909,0.222159,0.444290,22.301243,100.384155,120.189594,-5.107604
1,1,0.220000,0.223000,2,10,1,0.090909,0.223015,0.446020,30.680202,137.570125,147.934378,-5.025107
1,1,0.220000,0.224000,2,10,1,0.090909,0.223855,0.447637,38.801954,173.335215,192.635487,-4.944397
1,1,0.220000,0.225000,2,10,1,0.090909,0.224840,0.449680,55.471034,246.713369,276.677504,-4.865416
1,1,0.220000,0.226000,2,10,1,0.090909,0.226340,0.452561,91.628920,404.828665,492.809137,-4.788110
1,1,0.220000,0.227000,2,10,1,0.090909,0.226607,0.453085,80.176906,353.814783,2295.227983,-4.712427
2,1,0.220000,0.221000,2,10,1,0.090909,0.220982,0.441836,20.961719,94.857134,101.291293,-5.191949
2,1,0.220000,0.222000,2,10,1,0.090909,0.222067,0.444095,26.080909,117.446124,120.189594,-5.107604
2,1,0.220000,0.223000,2,10,1,0.090909,0.223807,0.447612,33.531933,149.825220,147.934378,-5.025107
2,1,0.220000,0.224000,2,10,1,0.090909,0.224110,0.448183,40.294114,179.796146,192.635487,-4.944397
2,1,0.220000,0.225000,2,10,1,0.090909,0.224607,0.449052,49.414116,220.002565,276.677504,-4.865416
2,1,0.220000,0.226000,2,10,1,0.090909,0.226541,0.452834,99.350763,438.555328,492.809137,-4.788110
2,1,0.220000,0.227000,2,10,1,0.090909,0.227012,0.453617,158.459707,698.023485,2295.227983,-4.712427
3,1,0.220000,0.221000,2,10,1,0.090909,0.220522,0.441019,19.665008,89.174814,101.291293,-5.191949
3,1,0.220000,0.222000,2,10,1,0.090909,0.222205,0.444368,26.023525,117.114940,120.189594,-5.107604
3,1,0.220000,0.223000,2,10,1,0.090909,0.223347,0.446681,46.679156,208.998355,147.934378,-5.025107
3,1,0.220000,0.224000,2,10,1,0.090909,0.223733,0.447463,35.572656,158.996017,192.635487,-4.944397
3,1,0.220000,0.225000,2,10,1,0.090909,0.225374,0.450518,43.321675,192.221265,276.677504,-4.865416
3,1,0.220000,0.226000,2,10,1,0.090909,0.226767,0.452796,258.141595,1138.356088,492.809137,-4.788110
3,1,0.220000,0.227000,2,10,1,0.090909,0.227234,0.453802,241.175064,1061.351136,2295.227983,-4.712427
